Wed Apr 21 23:42:37 2021    log1.txt

         62394416 function calls (59451042 primitive calls) in 245.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        9    0.000    0.000    0.000    0.000 traitlets.py:2950(validate)
        1    0.000    0.000    0.000    0.000 frontendcomm.py:233(_remote_callback)
        3    0.000    0.000    0.000    0.000 session.py:861(_add_digest)
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:59(dumps)
       22    0.000    0.000    0.000    0.000 session.py:223(extract_header)
       61    0.000    0.000    0.000    0.000 {method '__getitem__' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 __init__.py:1412(debug)
        8    0.000    0.000    0.000    0.000 selector_events.py:584(_process_events)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 compilerop.py:96(ast_parse)
        2    0.000    0.000    0.000    0.000 base_events.py:693(call_at)
       28    0.000    0.000    0.000    0.000 <string>:1(__new__)
        3    0.000    0.000    0.000    0.000 builtin_trap.py:39(__enter__)
       13    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        3    0.000    0.000    0.000    0.000 _parser.py:1223(_build_naive)
       42    0.000    0.000    0.000    0.000 _parser.py:209(isword)
        3    0.000    0.000    0.000    0.000 _parser.py:62(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        2    0.000    0.000    0.000    0.000 splitinput.py:110(__init__)
        1    0.000    0.000    0.000    0.000 compilerop.py:134(cache)
        8    0.000    0.000    0.000    0.000 ioloop.py:241(current)
        2    0.000    0.000    0.000    0.000 guisupport.py:112(get_app_qt4)
        3    0.000    0.000    0.000    0.000 queues.py:317(__put_internal)
        1    0.000    0.000    0.000    0.000 base.py:115(__init__)
       24    0.000    0.000    0.000    0.000 types.py:171(__get__)
       14    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        3    0.000    0.000    0.000    0.000 _parser.py:480(resolve_ymd)
        1    0.000    0.000    0.000    0.000 threading.py:519(set)
        2    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
       12    0.000    0.000    0.000    0.000 signal.py:35(_enum_to_int)
       13    0.000    0.000    0.000    0.000 threading.py:246(__enter__)
        3    0.000    0.000    0.000    0.000 builtin_trap.py:72(activate)
       84    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
