Wed Apr 21 23:13:03 2021    log.txt

         62433873 function calls (59490425 primitive calls) in 250.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19231    0.034    0.000    0.405    0.000 <__array_function__ internals>:2(norm)
    57686    0.223    0.000    0.390    0.000 linalg.py:135(_commonType)
  1577675    0.385    0.000    0.385    0.000 {built-in method builtins.issubclass}
    57687    0.221    0.000    0.374    0.000 shape_base.py:82(atleast_2d)
   230744    0.354    0.000    0.354    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   683076    0.341    0.000    0.341    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   480719    0.338    0.000    0.338    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    19231    0.168    0.000    0.332    0.000 linalg.py:2363(norm)
  1317822    0.323    0.000    0.323    0.000 multiarray.py:143(concatenate)
  1009963    0.266    0.000    0.266    0.000 multiarray.py:706(dot)
  1260135    0.242    0.000    0.242    0.000 shape_base.py:20(_atleast_1d_dispatcher)
   115768    0.225    0.000    0.225    0.000 {built-in method numpy.zeros}
    19228    0.134    0.000    0.222    0.000 rk.py:105(_estimate_error)
    57686    0.122    0.000    0.221    0.000 linalg.py:107(_makearray)
        8    0.000    0.000    0.215    0.027 events.py:81(trigger)
        2    0.000    0.000    0.214    0.107 backcall.py:95(adapted)
        2    0.000    0.000    0.214    0.107 autoreload.py:526(pre_run_cell)
        2    0.008    0.004    0.214    0.107 autoreload.py:209(check)
     4562    0.011    0.000    0.204    0.000 autoreload.py:183(filename_and_mtime)
   288431    0.202    0.000    0.202    0.000 {method 'find' of 'str' objects}
   230745    0.195    0.000    0.195    0.000 fromnumeric.py:71(<dictcomp>)
    57687    0.179    0.000    0.179    0.000 {method 'astype' of 'numpy.ndarray' objects}
   683076    0.168    0.000    0.168    0.000 fromnumeric.py:3265(_mean_dispatcher)
     4078    0.164    0.000    0.164    0.000 {built-in method nt.stat}
   581366    0.159    0.000    0.159    0.000 {method 'lower' of 'str' objects}
   115372    0.131    0.000    0.131    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   134603    0.076    0.000    0.101    0.000 linalg.py:112(isComplexType)
    57686    0.066    0.000    0.096    0.000 linalg.py:125(_realType)
   227692    0.089    0.000    0.089    0.000 {method 'values' of 'dict' objects}
   230785    0.087    0.000    0.087    0.000 {method 'items' of 'dict' objects}
    57686    0.086    0.000    0.086    0.000 linalg.py:200(_assert_stacked_square)
    57686    0.080    0.000    0.080    0.000 linalg.py:102(get_linalg_error_extobj)
   230745    0.069    0.000    0.069    0.000 fromnumeric.py:2245(_any_dispatcher)
   288521    0.065    0.000    0.065    0.000 {method 'join' of 'str' objects}
    57686    0.053    0.000    0.053    0.000 linalg.py:194(_assert_stacked_2d)
    57686    0.051    0.000    0.051    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
    57686    0.042    0.000    0.042    0.000 four_ws_rover_dynamic_simulator_full_par.py:2830(getWheelPoints)
    62317    0.039    0.000    0.039    0.000 {built-in method builtins.getattr}
       16    0.000    0.000    0.033    0.002 gen.py:725(__init__)
    62659    0.032    0.000    0.032    0.000 {method 'get' of 'dict' objects}
    17070    0.024    0.000    0.024    0.000 {built-in method builtins.min}
    57686    0.023    0.000    0.023    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    57686    0.023    0.000    0.023    0.000 linalg.py:473(_unary_dispatcher)
     4432    0.004    0.000    0.020    0.000 ntpath.py:203(splitext)
